epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.4413,7.17007,0.00685,0.03345,6.71787,0.0668301,3.32031e-05,3.32031e-05
2,79.4872,6.43428,0.06338,0.16725,5.73057,0.0335301,6.65202e-05,6.65202e-05
3,118.338,5.07149,0.29577,0.49061,3.7498,0.000229981,9.97722e-05,9.97722e-05
4,157.403,3.34821,0.54773,0.76174,2.23306,9.97803e-05,9.97803e-05,9.97803e-05
5,196.272,2.16552,0.71694,0.87696,1.33201,9.96097e-05,9.96097e-05,9.96097e-05
6,235.562,1.46042,0.80732,0.93388,0.87261,9.93906e-05,9.93906e-05,9.93906e-05
7,274.772,1.04768,0.86131,0.95246,0.65609,9.91232e-05,9.91232e-05,9.91232e-05
8,313.97,0.78146,0.89104,0.96831,0.48055,9.88079e-05,9.88079e-05,9.88079e-05
9,352.903,0.62856,0.91138,0.97398,0.40044,9.84449e-05,9.84449e-05,9.84449e-05
10,391.881,0.51059,0.91451,0.97868,0.35387,9.80345e-05,9.80345e-05,9.80345e-05
11,431.123,0.44842,0.93232,0.98239,0.29606,9.75773e-05,9.75773e-05,9.75773e-05
12,470.189,0.40205,0.94092,0.98631,0.2487,9.70736e-05,9.70736e-05,9.70736e-05
13,509.447,0.35148,0.94073,0.98513,0.25231,9.65239e-05,9.65239e-05,9.65239e-05
14,548.521,0.32698,0.94562,0.98787,0.2243,9.59289e-05,9.59289e-05,9.59289e-05
15,587.735,0.28763,0.95423,0.98924,0.19288,9.52889e-05,9.52889e-05,9.52889e-05
16,626.848,0.29415,0.95344,0.98826,0.19449,9.46048e-05,9.46048e-05,9.46048e-05
17,665.802,0.25354,0.95442,0.9912,0.18343,9.38772e-05,9.38772e-05,9.38772e-05
18,705.008,0.24235,0.95246,0.98846,0.18897,9.31067e-05,9.31067e-05,9.31067e-05
19,743.929,0.22983,0.96049,0.99022,0.17051,9.22942e-05,9.22942e-05,9.22942e-05
20,783.146,0.21866,0.95872,0.99139,0.16329,9.14405e-05,9.14405e-05,9.14405e-05
21,822.104,0.21631,0.96557,0.99041,0.15055,9.05463e-05,9.05463e-05,9.05463e-05
22,861.323,0.2005,0.96538,0.99002,0.1484,8.96127e-05,8.96127e-05,8.96127e-05
23,900.366,0.19524,0.96362,0.98944,0.15018,8.86404e-05,8.86404e-05,8.86404e-05
24,939.235,0.18824,0.9689,0.99218,0.13208,8.76305e-05,8.76305e-05,8.76305e-05
25,978.394,0.17584,0.96909,0.99237,0.12941,8.65839e-05,8.65839e-05,8.65839e-05
26,1017.51,0.16634,0.96929,0.99315,0.12572,8.55018e-05,8.55018e-05,8.55018e-05
27,1056.79,0.1685,0.97066,0.99296,0.11976,8.43851e-05,8.43851e-05,8.43851e-05
28,1095.91,0.1582,0.973,0.99218,0.11239,8.32349e-05,8.32349e-05,8.32349e-05
29,1135.21,0.14985,0.97027,0.99296,0.11362,8.20525e-05,8.20525e-05,8.20525e-05
30,1174.06,0.14228,0.9687,0.99257,0.12037,8.08389e-05,8.08389e-05,8.08389e-05
31,1213.01,0.15,0.97222,0.99276,0.10954,7.95954e-05,7.95954e-05,7.95954e-05
32,1251.83,0.1366,0.9732,0.99335,0.11005,7.83231e-05,7.83231e-05,7.83231e-05
33,1291.05,0.1361,0.97359,0.99413,0.10593,7.70234e-05,7.70234e-05,7.70234e-05
34,1330.25,0.13584,0.97457,0.99335,0.10066,7.56976e-05,7.56976e-05,7.56976e-05
35,1369.5,0.12385,0.97731,0.99511,0.08777,7.43468e-05,7.43468e-05,7.43468e-05
36,1408.73,0.11655,0.97809,0.99491,0.09107,7.29725e-05,7.29725e-05,7.29725e-05
37,1447.89,0.11621,0.97907,0.99531,0.08394,7.15761e-05,7.15761e-05,7.15761e-05
38,1486.86,0.10964,0.97926,0.9955,0.08424,7.01588e-05,7.01588e-05,7.01588e-05
39,1525.9,0.11534,0.97829,0.99511,0.08582,6.87222e-05,6.87222e-05,6.87222e-05
40,1564.64,0.10868,0.97809,0.99394,0.08761,6.72675e-05,6.72675e-05,6.72675e-05
41,1603.43,0.10754,0.97946,0.99491,0.08006,6.57963e-05,6.57963e-05,6.57963e-05
42,1642.45,0.10259,0.98063,0.9955,0.07691,6.43101e-05,6.43101e-05,6.43101e-05
43,1681.62,0.10722,0.97907,0.99609,0.0764,6.28101e-05,6.28101e-05,6.28101e-05
44,1720.47,0.09997,0.97868,0.99609,0.07818,6.12981e-05,6.12981e-05,6.12981e-05
45,1759.46,0.09186,0.98063,0.99589,0.07425,5.97754e-05,5.97754e-05,5.97754e-05
46,1798.53,0.09416,0.98142,0.99609,0.07305,5.82435e-05,5.82435e-05,5.82435e-05
47,1837.71,0.08605,0.9822,0.9955,0.07237,5.6704e-05,5.6704e-05,5.6704e-05
48,1876.81,0.09867,0.98337,0.99589,0.07121,5.51584e-05,5.51584e-05,5.51584e-05
49,1916.04,0.08692,0.98376,0.99589,0.06939,5.36081e-05,5.36081e-05,5.36081e-05
50,1955.22,0.08291,0.98415,0.99589,0.06617,5.20548e-05,5.20548e-05,5.20548e-05
51,1994.3,0.08106,0.98435,0.99628,0.06528,5.05e-05,5.05e-05,5.05e-05
52,2033.32,0.07869,0.98494,0.99628,0.06414,4.89452e-05,4.89452e-05,4.89452e-05
53,2072.3,0.06976,0.98533,0.99648,0.06255,4.73919e-05,4.73919e-05,4.73919e-05
54,2111.25,0.07403,0.98631,0.99648,0.06035,4.58416e-05,4.58416e-05,4.58416e-05
55,2150.17,0.06879,0.98728,0.99648,0.05959,4.4296e-05,4.4296e-05,4.4296e-05
56,2189.29,0.07295,0.98807,0.99667,0.05833,4.27565e-05,4.27565e-05,4.27565e-05
57,2228.63,0.06035,0.98826,0.99667,0.05718,4.12246e-05,4.12246e-05,4.12246e-05
58,2267.92,0.0726,0.98826,0.99667,0.05624,3.97019e-05,3.97019e-05,3.97019e-05
59,2307.15,0.06361,0.98768,0.99648,0.05624,3.81899e-05,3.81899e-05,3.81899e-05
60,2346.12,0.06103,0.98728,0.99648,0.05554,3.66899e-05,3.66899e-05,3.66899e-05
61,2385.11,0.06382,0.98689,0.99648,0.05524,3.52037e-05,3.52037e-05,3.52037e-05
62,2424.27,0.06118,0.9865,0.99648,0.05526,3.37325e-05,3.37325e-05,3.37325e-05
63,2463.33,0.06088,0.98631,0.99648,0.05486,3.22778e-05,3.22778e-05,3.22778e-05
64,2502.2,0.055,0.9865,0.99667,0.05466,3.08412e-05,3.08412e-05,3.08412e-05
65,2541.21,0.0521,0.98631,0.99667,0.05452,2.94239e-05,2.94239e-05,2.94239e-05
66,2580.13,0.04937,0.9867,0.99687,0.05447,2.80275e-05,2.80275e-05,2.80275e-05
67,2618.89,0.05515,0.98709,0.99687,0.05395,2.66532e-05,2.66532e-05,2.66532e-05
